LOCALIDADES,Puerto Libertad,San Pedro o el Saucito (San Pedro el Saucito),La Mesa,Cumpas,Plutarco Elas Calles (La Y Griega),Heroica Ciudad de Ures,Sahuaripa,Moctezuma,Carb,Benjamn Hill,Pitiquito,Pesqueira,Baha de Kino,Naco,Esqueda,Imuris,Altar,Nacozari de Garca,Santa Ana,Sonoita,Magdalena de Kino,Miguel Alemn (La Doce),Heroica Ciudad de Cananea,Heroica Caborca,Agua Prieta,Heroica Nogales,Hermosillo, 
Puerto Libertad,0,0,0,0,127.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Pedro o el Saucito (San Pedro el Saucito),0,0,0,0,0,61.851,0,0,0,0,0,22.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.71, 
La Mesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.925,0,0,0,0,0,0,0,0,0,18.027,0, 
Cumpas,0,0,0,0,0,0,0,27.724,0,0,0,0,0,0,0,0,0,54.971,0,0,0,0,0,0,0,0,0, 
Plutarco Elas Calles (La Y Griega),127.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.951,0,0,0, 
Heroica Ciudad de Ures,0,61.851,0,0,0,0,0,100.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Sahuaripa,0,0,0,0,0,0,0,118.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Moctezuma,0,0,0,27.724,0,100.761,118.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Carb,0,0,0,0,0,0,0,0,0,0,0,51.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Benjamn Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.941,0,0,0,0,0,0,0,0, 
Pitiquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.438,0,0,0,0,0,0,12.339,0,0,0, 
Pesqueira,0,22.634,0,0,0,0,0,0,51.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Baha de Kino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.228,0,0,0,0,0, 
Naco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.741,0,52.7,0,0, 
Esqueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.651,0,0, 
Imuris,0,0,51.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.882,0,80.511,0,0,0,0, 
Altar,0,0,0,0,0,0,0,0,0,0,22.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Nacozari de Garca,0,0,0,54.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Santa Ana,0,0,0,0,0,0,0,0,0,68.941,0,0,0,0,0,0,0,0,0,0,19.864,0,0,0,0,0,0, 
Sonoita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.983,0,0,0, 
Magdalena de Kino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.882,0,0,19.864,0,0,0,0,0,0,0,0, 
Miguel Alemn (La Doce),0,0,0,0,0,0,0,0,0,0,0,0,48.228,0,0,0,0,0,0,0,0,0,0,0,0,0,60.901, 
Heroica Ciudad de Cananea,0,0,0,0,0,0,0,0,0,0,0,0,0,58.741,0,80.511,0,0,0,0,0,0,0,0,0,0,0, 
Heroica Caborca,0,0,0,0,60.951,0,0,0,0,0,12.339,0,0,0,0,0,0,0,0,148.983,125.455,0,0,0,0,0,0, 
Agua Prieta,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,74.651,0,0,0,0,0,0,0,0,0,0,0,0, 
Heroica Nogales,0,0,18.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Hermosillo,0,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.492,60.901,0,282.01,0,0,0, 
